index,country_index,country,name,logo,website_url,video_url,video_alt_text,video_source
0,0,EU,European Commission: Directorate-General of Energy (DG ENER),https://globalaccessibilitynews.com/files/2013/03/European-Commission-logo.png,https://ec.europa.eu/energy/home_en,https://www.youtube.com/embed/nWpgO1EPO_Y,,European Commission
1,0,EU,European Commission: Directorate-General of Climate Action (DG CLIMA),https://globalaccessibilitynews.com/files/2013/03/European-Commission-logo.png,https://ec.europa.eu/clima/index_en,https://www.youtube.com/embed/nWpgO1EPO_Y,,European Commission
2,0,EU,European Parliament,https://cpmr.org/wp-content/uploads/2019/02/EP-logo-RGB_EN-e1550160627666.png,https://www.europarl.europa.eu/about-parliament/en,https://www.youtube.com/embed/UKwJL04XQEU,,EPinUK
3,0,EU,Council of the European Union,https://www.partitoradicale.it/wp-content/uploads/2021/08/5.jpg,https://www.consilium.europa.eu/en/council-eu/,https://www.youtube.com/embed/t_BujuCoJV0,,Council of the European Union
4,0,EU,European Council,https://www.coe.int/documents/16695/994584/COE-Logo-Quadri.png/ee7b1fc6-055b-490b-a59b-a65969e440a2?t=1371222819000,https://www.consilium.europa.eu/en/european-council/,https://www.youtube.com/embed/U24lTeWHq9k,,EPinUK
5,0,EU,European Commission,https://globalaccessibilitynews.com/files/2013/03/European-Commission-logo.png,https://ec.europa.eu/info/index_en,https://www.youtube.com/embed/nWpgO1EPO_Y,,European Commission
6,0,EU,ExxonMobil,https://res.cloudinary.com/dqmjwsj8t/image/upload/v1632661137/initial_seeds/i%CC%81ndice_jesbdo.png,https://influencemap.org/report/An-InfluenceMap-Note-ExxonMobil-Lobbies-the-EU-Commission-add01200dc694b00e9ac4bebf660227b,,,
7,0,EU,BP plc,https://logodownload.org/wp-content/uploads/2019/08/bp-logo-0.png,https://www.reuters.com/world/uk/bps-lobbying-gas-shows-rifts-over-path-net-zero-emissions-2021-05-17/,,,
8,0,EU,European Crop Protection Association,https://www.desmog.com/wp-content/uploads/2021/03/CropLife-Europe-logo.png,https://unearthed.greenpeace.org/2020/10/12/eu-european-green-deal-pesticide-lobbying/,,,
9,0,EU,Wuppertal Institute,https://terravivagrants.org/wp-content/uploads/2016/07/Wuppertal6.png,https://wupperinst.org/en/a/wi/a/s/ad/5026,,,
10,0,EU,Fraunhofer Green Deal Series,https://www.go-fair.org/wp-content/uploads/2018/07/fraunhofer-vector-logo.png,https://www.fraunhofer.de/en/institutes/international/europe/fraunhofer-brussels/fraunhofer-green-deal-series.html,,,
11,0,EU,Joint Council on Youth,https://www.partitoradicale.it/wp-content/uploads/2021/08/5.jpg,https://www.coe.int/en/web/youth/joint-council-on-youth,,,
